pair,engagement by Utterance,engagement by Second,mean engagement by Utterance,mean engagement by Second,openness,conscientiousness,extraversion,agreeableness,neuroticism,openness difference,conscientiousness difference,extraversion difference,agreeableness difference,neuroticism difference
P046_P051,1.583608122390781,1.5572192223907808,1.5055666356082458,1.4079713238560492,0.38,0.44,0.79,0.55,0.53,-0.54,-0.52,-0.17999999999999994,-0.1499999999999999,0.33
P046_P053,1.622157853751481,1.6213358002132068,1.5055666356082458,1.4079713238560492,0.38,0.44,0.79,0.55,0.53,-0.47,-0.39999999999999997,0.41000000000000003,-0.25,0.2
P051_P003,0.9621689656977669,0.9498339210564959,0.9812678576620872,0.9684169824279635,0.92,0.96,0.97,0.7,0.2,0.3400000000000001,0.15999999999999992,0.49,0.1499999999999999,-0.13
P051_P046,0.9814184302862214,0.9676241584271136,0.9812678576620872,0.9684169824279635,0.92,0.96,0.97,0.7,0.2,0.54,0.52,0.17999999999999994,0.1499999999999999,-0.33
P051_P053,1.0149088505733284,1.012986673215156,0.9812678576620872,0.9684169824279635,0.92,0.96,0.97,0.7,0.2,0.07000000000000006,0.12,0.59,-0.10000000000000009,-0.13
P053_P003,1.1255723279219298,1.0960466222779464,1.1674985745524624,1.103863571159931,0.85,0.84,0.38,0.8,0.33,0.27,0.039999999999999925,-0.09999999999999998,0.25,0.0
P053_P046,1.1446101299864733,1.1401240745435983,1.1674985745524624,1.103863571159931,0.85,0.84,0.38,0.8,0.33,0.47,0.39999999999999997,-0.41000000000000003,0.25,-0.2
P053_P051,1.2444931561403512,1.2571491131578951,1.1674985745524624,1.103863571159931,0.85,0.84,0.38,0.8,0.33,-0.07000000000000006,-0.12,-0.59,0.10000000000000009,0.13
P040_P044,1.1439521185469355,1.0804289794677533,1.194546273489506,1.1432610122248295,0.15,0.64,0.59,0.15,0.67,-0.39,0.0,-0.41000000000000003,-0.65,0.5
P040_P048,1.14229870037932,1.1490757221586902,1.194546273489506,1.1432610122248295,0.15,0.64,0.59,0.15,0.67,-0.62,0.4,-0.27,-0.35,0.14
P040_P052,1.2087992218421053,1.1921172582619342,1.194546273489506,1.1432610122248295,0.15,0.64,0.59,0.15,0.67,-0.62,0.24,0.039999999999999925,-0.7,-0.09999999999999998
P044_P040,1.2693938863960637,1.323443202672896,1.278807332890968,1.2402500095815887,0.54,0.64,1.0,0.8,0.17,0.39,0.0,0.41000000000000003,0.65,-0.5
P044_P048,1.287738407442144,1.2872083025422838,1.278807332890968,1.2402500095815887,0.54,0.64,1.0,0.8,0.17,-0.22999999999999998,0.4,0.14,0.30000000000000004,-0.36
P044_P052,1.1465866402748537,1.1482481191146472,1.278807332890968,1.2402500095815887,0.54,0.64,1.0,0.8,0.17,-0.22999999999999998,0.24,0.44999999999999996,-0.04999999999999993,-0.6
P048_P040,1.1023796489959732,1.0916594754552589,1.1357532793641363,1.1192213202095447,0.77,0.24,0.86,0.5,0.53,0.62,-0.4,0.27,0.35,-0.14
P048_P044,1.1204587574957654,1.1721607171792487,1.1357532793641363,1.1192213202095447,0.77,0.24,0.86,0.5,0.53,0.22999999999999998,-0.4,-0.14,-0.30000000000000004,0.36
P048_P052,1.0353470966725151,1.0460265447844421,1.1357532793641363,1.1192213202095447,0.77,0.24,0.86,0.5,0.53,0.0,-0.16000000000000003,0.30999999999999994,-0.35,-0.24
P052_P040,0.9262818696958254,0.9114579407878848,0.9087086187688589,0.8747088797323727,0.77,0.4,0.55,0.85,0.77,0.62,-0.24,-0.039999999999999925,0.7,0.09999999999999998
P052_P044,0.8563975008727632,0.830114305524307,0.9087086187688589,0.8747088797323727,0.77,0.4,0.55,0.85,0.77,0.22999999999999998,-0.24,-0.44999999999999996,0.04999999999999993,0.6
P052_P048,0.8648082637126675,0.8582070777952872,0.9087086187688589,0.8747088797323727,0.77,0.4,0.55,0.85,0.77,0.0,0.16000000000000003,-0.30999999999999994,0.35,0.24
P007_P022,1.3118879109747958,1.3202725037205796,1.3560356109100975,1.3358861111763163,0.19,0.08,0.52,0.1,0.7,-0.15999999999999998,-0.39999999999999997,-0.06999999999999995,-0.65,0.22999999999999998
P007_P028,1.2022117247627315,1.1582789659694108,1.3560356109100975,1.3358861111763163,0.19,0.08,0.52,0.1,0.7,0.0,-0.08,0.0,0.1,0.26999999999999996
